,<built-in function id>,imageLink,title,year
73,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1151,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1151&action=2&DMSCALE=11&DMWIDTH=4390&DMHEIGHT=3281,"[Peu]: Plan de Barcelona / publicat en 1840 en Manual del viajero en Barcelona, per F. Oliva",1840
74,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1022,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1022&action=2&DMSCALE=13&DMWIDTH=2488&DMHEIGHT=3748,"[Portada]: Atlas general de España y particular de sus cuarenta y nueve provincias, tirado a dos colores con datos geograficos, comerciales e industriales de cada provincia, precedidos de un breve estudio sobre la situación, division y organizacion de la Península y sus posesiones",1908
75,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/583,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=583&action=2&DMSCALE=9&DMWIDTH=4032&DMHEIGHT=5352,"[Portada]: L'Espagne, descrite en plusieurs cartes & differens traittés de geographie, & d'histoire, suiuant les plus belles & les principales distinctions, qui se peuuent remarquer dans tous les autheurs anciens, & nouueaux",1651
76,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/247,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=247&action=2&DMSCALE=10&DMWIDTH=4691&DMHEIGHT=3656,[portadella]: Theatrum Hispaniae...,1720
77,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/697,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=697&action=2&DMSCALE=9&DMWIDTH=5136&DMHEIGHT=3460,[Retrat] Philipe V roy d'Espagne,1705
78,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/769,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=769&action=2&DMSCALE=14&DMWIDTH=2400&DMHEIGHT=3396,A map of the journeyings of the israelites mentioned in ye Mosaick History and of ye land of Canaan shewing ye divisions of ye twelve tribes of Israel and more remarkable places mentioned in Ioshua & Iudges,1732
79,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1046,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1046&action=2&DMSCALE=8&DMWIDTH=6114&DMHEIGHT=5220,A map of the roads of Spain,1808
80,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/766,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=766&action=2&DMSCALE=15&DMWIDTH=3332&DMHEIGHT=2396,"A map of the travels and voyages of St. Paul, and of the other places that are mention'd in the Books of the New Testament...",1732
81,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/967,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=967&action=2&DMSCALE=26&DMWIDTH=1860&DMHEIGHT=1280,Abissinorvm regio,1590
82,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/759,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=759&action=2&DMSCALE=14&DMWIDTH=3348&DMHEIGHT=2400,Acquisitiones Pyrrhi Epirotarum regis sicut in Plutarcho,1732
